,grid,resolution,GOFR,Baney,Luba,Malabo,Riaba
HRSL fine,HRSL,fine,0.959493099968398,1.02038377716269,3.11381564694369,0.922188613150736,3.16409458039787
LandScan coarse,LandScan,coarse,0.471914544533586,0.371282247011099,5.38004892620698,0.487059367872341,0.80897815528672
WorldPop fine,WorldPop,fine,0.963130665427826,1.03192256558773,0.990186228871671,0.970385386423303,1.00400157970304
HRSL fine1,HRSL,fine,0.972634312693377,1.00174566104576,1.00626009383346,0.960681413132996,1.49520682761405
LandScan coarse1,LandScan,coarse,0.545536081644306,0.136005929025387,1.65836459397734,0.569650048914717,0.457803836630074
WorldPop fine1,WorldPop,fine,0.963649002060532,1.00416815573652,0.988449840903155,0.975702520817534,0.999808072525265
